Time	Mean	Median	Upper	Lower
554	843.8664121	731.0136433	2029.661203	285.2017035
547.7448526	1229.226357	1124.121616	2536.690466	543.8084539
541.4897051	2907.074428	2284.646236	8983.85906	888.2775669
535.2345577	5287.378872	3985.552338	16095.03357	1343.558176
528.9794102	6580.773216	4931.248084	18766.12064	1629.65406
522.7242628	6781.51549	5071.823693	19404.36398	1660.687036
516.4691154	6232.290608	4916.233965	17906.76549	1563.232731
510.2139679	5410.593061	4276.793411	15866.59822	1372.912727
503.9588205	4533.493684	3622.234705	13440.40612	1137.620396
497.703673	3703.668702	2978.441651	10966.38336	926.5008605
491.4485256	2939.599492	2345.814834	8836.014445	712.730832
485.1933781	2328.386375	1892.49555	6830.434366	571.0674405
478.9382307	1881.874193	1477.801702	5696.59431	446.6461177
472.6830833	1480.539434	1156.25232	4433.318926	333.7226871
466.4279358	1189.726109	926.9216458	3499.805112	268.7747906
460.1727884	941.398041	742.8523575	2834.057354	206.8870794
453.9176409	765.4039129	586.7103542	2515.839976	168.9801281
447.6624935	609.6614979	464.34806	1978.641104	131.0139506
441.4073461	484.7538392	380.5583404	1514.752783	102.1744696
435.1521986	405.5415233	320.7380763	1257.747203	89.04873801
428.8970512	350.4714434	276.7312825	1054.114689	80.83945451
422.6419037	335.5323375	248.4573671	1073.601717	71.79149064
416.3867563	361.6834429	239.9570393	1344.591351	68.83762803
410.1316089	454.327686	264.7961326	2013.865473	70.41721198
403.8764614	630.923934	323.2982797	3004.65543	75.08974854
397.621314	890.6854715	465.0305841	4079.817388	82.30289331
391.3661665	1226.944752	753.7281869	5162.821065	93.6165994
385.1110191	1612.773264	1171.210879	6027.942744	143.564101
378.8558716	2007.881446	1595.956975	6319.947924	234.6973766
372.6007242	2385.59556	1994.615951	6925.421849	493.6676733
366.3455768	2715.930845	2292.848209	7123.103783	791.6854209
360.0904293	3011.773057	2549.744231	7702.450963	913.4988973
353.8352819	5668.679326	4343.114451	17442.2374	1592.259328
347.5801344	17726.63726	12581.56958	61374.45884	3460.713458
341.324987	24083.5989	19348.56872	71511.74851	5883.457716
335.0698396	24499.26954	19908.32684	68861.85868	6580.171827
328.8146921	22740.72792	18462.08624	62975.37138	6156.882488
322.5595447	19940.92604	16110.07183	57815.4365	5104.74762
316.3043972	16842.99107	13481.75457	50901.30852	4168.607574
310.0492498	13436.84348	10696.18255	41986.54608	3184.414696
303.7941024	10525.90587	8237.7121	32711.61897	2471.849498
297.5389549	8116.923896	6331.974919	23666.01558	1967.578086
291.2838075	6213.709414	5028.404446	18657.00182	1580.523554
285.02866	4854.135951	3823.332108	14129.15733	1285.645941
278.7735126	3735.821882	3019.318066	10964.32407	980.2129875
272.5183651	2982.125773	2422.468874	8539.849709	810.9852786
266.2632177	2391.557882	1937.607326	6760.303166	659.2058472
260.0080703	1964.680682	1593.851959	5593.733976	522.6003286
253.7529228	1649.838663	1357.338676	4705.621268	438.126029
247.4977754	1371.044476	1125.788184	3870.963424	362.4185888
241.2426279	1153.974883	929.2884863	3359.66325	308.7174722
234.9874805	988.6528524	820.4945452	2725.866294	256.0683998
228.7323331	834.9120575	694.8321222	2321.460334	214.7532454
222.4771856	720.6470413	587.3357662	2059.680904	181.2216171
216.2220382	628.7511463	507.3414602	1862.484852	145.2161142
209.9668907	556.05836	440.3708882	1657.180062	126.3699289
203.7117433	491.731663	387.4851349	1503.697797	107.3193726
197.4565959	435.0357368	345.1168154	1322.356179	95.4682787
191.2014484	382.8112212	301.0966242	1193.669545	85.56804706
184.946301	342.489883	264.1376206	1084.484442	76.96913768
178.6911535	303.662464	233.9640796	965.4954551	63.68810743
172.4360061	263.6636733	203.98442	809.8473522	56.19303303
166.1808586	230.5130004	181.9481641	718.259946	46.09705924
159.9257112	209.1690552	162.7268297	667.2833447	42.81109508
153.6705638	191.7431503	147.1576895	628.940038	37.51387644
147.4154163	181.657266	136.5609326	612.1380994	33.6886965
141.1602689	181.8642047	131.1316817	648.1030749	31.90373728
134.9051214	193.2484334	134.3353249	706.2470809	30.67431138
128.649974	219.7141347	150.7623025	822.9907888	33.37879498
122.3948266	259.3510952	182.6057295	941.3004734	35.85354609
116.1396791	307.3943176	225.5813467	1063.154916	44.86706439
109.8845317	365.5710031	277.4349279	1177.0578	63.27342449
103.6293842	431.8354305	333.4355531	1344.255259	84.88918404
97.3742368	527.6459317	411.5553969	1637.556692	113.3155866
91.11908936	1756.372813	1537.381493	4146.627692	643.5526549
84.86394191	3409.476087	2942.279066	8604.068001	1254.371766
78.60879447	3682.422119	3095.990807	9436.537535	1284.265185
72.35364703	2873.775784	2458.235761	7207.006667	979.949767
66.09849959	1918.915259	1670.8407	4529.164863	674.6175014
59.84335215	1219.532634	1073.780053	2875.511248	421.9352361
53.58820471	718.4204879	628.3511838	1708.93589	246.6618749
47.33305727	411.9283861	363.7780672	978.4659435	142.5008967
41.07790983	280.7546875	241.9741724	700.8669967	86.87165384
34.82276239	412.1626628	365.5388057	935.6201977	149.6802265
28.56761494	751.5093569	621.907489	2024.744449	234.5473717
22.3124675	2403.415013	2067.27117	6046.765748	727.8032495
16.05732006	5007.322011	4456.017381	11432.92596	1970.002921
9.802172621	4646.893263	4078.306417	10990.98307	1743.767472
3.547025179	3408.703635	2985.269379	8276.292537	1174.272494
-2.708122262	2377.99354	2077.003406	5582.214276	812.2340502
-8.963269703	1682.347564	1442.716776	4090.948448	562.6665643
-15.21841714	1179.757046	1019.598737	2908.657295	379.9358825
-21.47356459	857.6094811	740.6918417	2120.652314	270.0754127
-27.72871203	654.3009951	567.0335168	1606.840795	198.2715309
-33.98385947	514.4052238	428.9170137	1336.842556	141.2014548
-40.23900691	395.8547102	327.3518699	1077.100257	89.21102888
-46.49415435	299.4455796	236.295306	890.3354977	49.68636087
-52.74930179	211.0146273	158.0269465	677.8027011	26.14837264
-59.00444923	141.2743752	96.85256151	520.5278803	15.00009084
-65.25959667	93.87567412	60.77247361	385.6658464	9.66685524
