Time	B	NK	Total CD4	Naive CD4	CM CD4	EM CD4	Total CD8	Naive CD8	CM CD8	EM CD8	Total Monos	CD14+CD16-	CD14+CD16+	CD14-CD16+
0	251.15	154.58	669.68	394.44	270.55	2.68	311.44	122.08	49.83	137.35	595.35	536.41	32.92	25.42
3	200.69	158.11	826.37	494.17	295.84	8.43	380.51	151.44	52.89	173.90	452.10	386.09	40.78	25.05
9	67.79	61.03	247.80	119.44	124.65	2.35	174.06	17.25	27.15	127.76	333.68	190.53	83.09	60.06
14	107.05	288.26	493.10	392.51	90.24	7.79	670.46	174.99	75.09	401.61	690.96	463.63	172.05	54.66
21	71.10	72.43	266.07	207.27	57.47	0.45	235.28	79.05	30.82	119.05	521.71	467.97	41.16	10.12
35	110.09	181.99	348.24	271.28	74.52	1.01	302.97	133.91	52.11	109.98	721.26	658.51	45.01	17.82
56	81.13	154.59	174.19	134.65	37.45	1.72	256.05	60.17	30.73	158.24	757.68	605.39	126.53	25.61
76	87.25	220.31	139.48	99.87	35.15	2.65	231.62	38.68	29.65	157.04	797.54	655.58	76.09	65.16
92	43.84	39.15	151.61	122.65	28.05	0.39	132.46	57.36	18.28	52.72	417.14	376.26	29.53	11.39
98	56.67	166.02	242.29	197.22	43.85	0.65	242.29	103.94	40.46	98.13	517.84	432.92	47.38	37.28
120	75.61	179.06	371.63	324.43	39.02	5.80	353.51	178.52	53.73	112.06	677.03	568.71	80.57	24.31
148	88.06	347.28	464.21	403.40	55.24	2.46	475.51	230.15	81.31	152.16	1186.14	939.42	149.45	93.70
168	93.82	285.68	375.15	329.01	42.02	1.84	388.49	201.24	57.50	119.65	903.71	690.43	117.48	91.27
182	54.36	160.37	247.94	221.41	25.29	0.40	239.81	120.14	46.04	67.39	531.11	414.80	81.26	35.05
189	118.27	208.61	479.33	427.08	47.02	2.64	417.83	234.82	78.97	91.09	785.28	599.17	113.87	72.40
210	116.13	378.38	690.26	623.30	59.09	3.66	807.66	450.68	117.11	213.22	1140.27	800.47	230.34	109.47
238	148.15	347.33	452.89	402.62	44.65	2.81	550.40	285.66	92.47	154.11	855.20	558.45	218.08	78.85
266	158.09	234.87	430.34	389.46	34.34	2.71	578.33	34.18	107.57	422.76	725.39	487.46	173.37	64.63
301	256.33	306.99	522.82	476.81	42.56	2.14	1024.95	584.22	129.14	281.86	1230.85	640.04	371.72	219.09
322	102.41	141.09	294.74	259.96	30.95	1.62	535.10	288.96	71.17	153.04	668.07	473.66	130.94	63.73
342	272.81	27.62	270.60	225.68	35.45	5.76	498.39	375.78	55.32	53.83	627.38	457.98	116.69	52.64
358	108.77	42.85	169.48	147.28	21.35	1.00	294.00	206.09	38.81	43.51	657.82	345.36	219.05	93.41
365	139.48	59.67	263.22	221.63	27.37	9.55	472.99	322.58	66.69	59.12	1305.89	711.71	304.27	289.91
373	119.77	22.52	236.08	205.86	25.97	2.05	429.95	336.22	30.66	53.74	1021.14	533.04	270.60	218.52
