Time	B	NK	Total CD4	Naive CD4	CM CD4	EM CD4	Total CD8	Naive CD8	CM CD8	EM CD8	Total Monos	CD14+CD16-	CD14+CD16+	CD14-CD16+
0	288.74	127.34	565.14	273.53	288.79	1.36	147.02	67.93	37.20	41.31	737.68	588.67	91.47	56.80
3	361.28	377.59	695.08	296.80	394.80	2.29	364.89	149.97	121.14	91.59	1191.31	975.68	137.00	78.15
9	74.83	59.17	176.42	47.99	125.08	2.70	81.42	9.04	32.90	38.68	500.56	260.29	136.15	104.12
14	306.27	291.86	483.44	284.26	180.81	13.87	673.45	383.19	159.61	120.55	580.82	489.63	70.28	21.03
21	163.20	223.09	259.48	143.75	111.32	3.32	545.73	122.24	268.50	148.98	479.69	392.86	51.33	34.68
35	242.82	127.24	272.52	157.24	112.55	1.64	414.65	156.74	188.67	61.78	343.35	277.77	38.11	27.43
56	180.74	266.11	257.29	133.28	121.96	1.29	335.66	107.08	142.66	78.21	962.39	699.66	142.43	120.30
76	162.23	157.57	155.52	93.00	60.03	1.35	210.57	69.91	82.97	51.59	731.81	593.50	66.89	71.21
92	146.38	296.58	178.20	98.90	77.16	1.14	258.13	57.82	98.09	98.61	884.65	717.45	101.73	65.73
98	168.95	228.52	186.88	102.22	83.16	0.93	221.43	66.21	78.16	76.61	909.22	703.73	113.65	91.83
120	255.48	252.97	162.53	92.80	66.80	1.85	246.46	75.17	91.19	75.17	727.43	596.49	109.11	20.66
148	346.21	235.07	156.74	86.68	66.93	2.04	260.18	56.72	109.02	89.50	901.79	762.91	91.98	46.53
168	331.69	167.09	157.16	86.28	67.27	2.37	250.76	84.51	87.01	72.97	850.28	658.97	115.64	74.06
182	157.07	75.39	45.01	20.30	23.59	0.65	92.92	12.08	42.93	36.24	426.45	320.27	55.01	51.17
189	182.43	149.28	42.64	14.07	27.50	0.84	111.15	16.01	47.24	45.90	552.75	397.98	69.65	85.12
210	195.44	129.70	31.79	7.47	23.49	0.64	138.03	18.91	55.76	61.15	599.15	446.37	77.89	74.29
238	189.52	124.30	21.24	2.10	18.84	0.24	105.45	12.34	52.20	39.33	606.37	461.45	78.22	66.70
266	248.19	101.43	24.66	2.81	21.41	0.34	152.75	13.35	82.79	54.69	367.96	164.48	95.67	107.44
301	431.24	342.87	29.36	2.38	26.54	0.42	213.88	10.14	122.55	79.78	529.51	326.18	81.54	121.79
322	190.53	117.28	18.73	1.56	16.71	0.36	135.40	13.42	72.30	48.74	511.81	371.57	85.47	54.25
342	189.69	147.70	14.33	1.22	12.83	0.27	124.83	5.65	85.38	30.71	387.67	200.04	84.12	103.90
358	210.04	152.65	14.30	0.84	13.25	0.19	116.03	7.59	76.58	30.40	564.72	367.63	105.04	92.05
365	126.55	129.63	9.82	0.46	9.15	0.18	114.94	3.68	78.28	32.18	313.65	149.93	78.73	85.00
400	161.67	173.66	16.34	2.93	13.06	0.21	276.42	5.67	157.84	111.68	550.04	339.38	85.26	125.41
428	111.10	62.14	8.09	0.25	7.55	0.27	182.50	1.75	127.02	53.29	216.79	98.85	47.26	70.67
461	23.46	36.70	3.05	0.17	2.58	0.29	93.96	0.17	58.91	34.77	217.81	109.12	47.05	61.86
