Time	B	NK	Total CD4	Naive CD4	CM CD4	EM CD4	Total CD8	Naive CD8	CM CD8	EM CD8	Total Monos	CD14+CD16-	CD14+CD16+	CD14-CD16+
0	845.92	204.66	1847.46	1265.51	574.56	5.17	763.69	449.81	168.77	142.81	414.72	373.24	22.93	18.33
3	572.84	191.25	1353.76	804.14	541.51	5.96	478.30	247.28	134.88	93.27	398.94	363.03	23.14	12.69
9	210.88	86.62	599.47	326.71	263.17	7.37	212.68	57.85	42.75	109.74	172.47	109.69	41.39	21.39
14	358.34	529.44	1513.89	1253.50	245.25	10.14	2224.22	604.99	716.20	849.65	495.99	433.00	54.56	8.18
21	269.83	616.86	1186.39	912.34	265.75	5.10	1201.57	413.34	348.46	430.16	796.80	656.56	95.62	44.30
35	134.33	120.05	485.00	345.32	137.25	0.92	367.22	132.57	144.69	85.93	485.29	406.68	49.99	28.54
56	308.97	256.39	760.20	583.83	172.57	1.90	695.36	285.10	210.00	191.22	856.05	626.63	165.22	64.97
76	294.79	162.18	376.32	229.18	145.26	0.72	341.75	112.44	134.65	90.56	603.90	523.58	58.10	22.40
92	487.85	274.13	443.17	288.06	153.34	0.89	374.71	120.28	147.26	102.67	439.67	329.75	75.62	34.29
98	606.87	328.97	673.75	468.93	202.80	1.15	654.88	263.26	209.56	182.06	464.32	382.14	51.54	30.65
120	766.89	218.48	424.07	276.07	144.61	1.27	575.62	172.69	228.52	160.02	542.14	467.32	62.89	11.49
148	1149.34	128.29	317.49	203.19	112.71	0.89	405.00	122.31	175.37	97.61	432.55	374.59	41.44	16.18
168	1371.65	242.28	255.93	137.44	117.22	0.69	410.15	115.66	164.06	122.64	583.28	483.54	73.49	26.13
182	1107.57	101.08	126.00	62.37	62.37	0.32	235.77	57.29	98.79	76.39	254.36	208.58	33.32	12.54
189	1366.06	37.69	210.17	112.44	97.52	0.08	256.26	77.90	141.71	34.34	346.58	313.65	19.55	13.41
210	1491.78	248.24	188.31	76.08	109.78	1.71	487.96	84.90	203.97	192.74	791.03	526.04	144.76	120.24
238	1510.30	113.88	149.17	52.36	96.21	0.21	340.86	65.45	172.48	98.51	570.11	414.47	79.82	75.25
266	1257.79	75.04	142.97	47.18	94.21	0.96	403.30	58.48	187.13	153.25	412.67	314.04	66.85	31.82
301	1879.42	143.80	149.38	42.42	105.91	0.61	372.50	39.49	221.27	109.89	510.24	382.17	76.03	52.04
322	1350.83	298.81	169.12	58.35	109.25	0.83	450.55	68.48	215.81	163.10	535.26	351.66	80.82	102.77
342	1383.50	74.77	150.89	42.55	107.58	0.29	307.81	35.40	201.92	68.64	432.10	342.22	51.42	38.28
358	1507.41	561.67	218.09	70.01	147.21	0.81	561.50	54.07	227.97	274.01	678.53	457.33	118.74	102.46
365	1384.26	245.20	143.85	42.72	99.54	1.02	229.29	24.76	138.26	45.63	178.41	127.92	32.65	17.84
400	1296.16	494.16	220.15	87.84	130.33	0.97	619.22	58.83	243.97	311.47	686.21	540.73	69.31	77.54
428	1062.06	472.74	194.92	68.22	124.94	1.13	642.25	52.15	240.20	346.82	530.06	381.65	88.52	59.90
461	963.40	18.15	209.64	83.02	123.90	1.72	545.08	31.89	230.03	279.08	514.66	412.76	65.36	36.54
492	784.52	761.45	181.38	76.72	103.57	0.63	559.24	25.95	194.62	335.54	630.69	305.26	133.08	192.36
518	521.27	478.58	188.06	85.00	100.05	0.38	457.43	29.82	192.12	228.72	468.86	211.92	94.24	155.66
538	240.02	178.22	144.23	71.68	72.40	0.20	258.02	22.89	116.11	113.53	243.70	107.96	51.42	84.32
552	193.76	163.60	142.67	86.89	54.50	0.67					430.44	195.42	69.30	165.72
